timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1551114684918,621,HTTP Request,200,OK,Thread Group 1-1,text,true,,1114012,138,1,1,https://www.trendyol.com/kupe?qs=navigation,391,0,30
1551114685539,576,HTTP Request,200,OK,Thread Group 1-1,text,true,,1121572,142,1,1,https://www.trendyol.com/bileklik?qs=navigation,349,0,0
1551114686115,643,HTTP Request,200,OK,Thread Group 1-1,text,true,,1189420,139,1,1,https://www.trendyol.com/yuzuk?qs=navigation,382,0,0
1551114686758,501,HTTP Request,200,OK,Thread Group 1-1,text,true,,1050617,141,1,1,https://www.trendyol.com/bilezik?qs=navigation,274,0,0
1551114687259,648,HTTP Request,200,OK,Thread Group 1-1,text,true,,1142414,149,1,1,https://www.trendyol.com/akilli-bileklik?qs=navigation,411,0,30
1551114687907,651,HTTP Request,200,OK,Thread Group 1-1,text,true,,1294132,145,1,1,https://www.trendyol.com/akilli-saat?qs=navigation,369,0,0
1551114688558,615,HTTP Request,200,OK,Thread Group 1-1,text,true,,1125629,148,1,1,https://www.trendyol.com/kapak-ve-kilif?qs=navigation,362,0,0
1551114689173,124,HTTP Request,200,OK,Thread Group 1-1,text,true,,402619,140,1,1,https://www.trendyol.com/Butik/Liste/Kozmetik,48,0,0
1551114689297,623,HTTP Request,200,OK,Thread Group 1-1,text,true,,1080589,140,1,1,https://www.trendyol.com/parfum?qs=navigation,393,0,30
1551114689920,607,HTTP Request,200,OK,Thread Group 1-1,text,true,,1061414,145,1,1,https://www.trendyol.com/parfum-seti?qs=navigation,310,0,0
1551114690527,509,HTTP Request,200,OK,Thread Group 1-1,text,true,,1053630,146,1,1,https://www.trendyol.com/vucut-spreyi?qs=navigation,295,0,0
1551114691036,643,HTTP Request,200,OK,Thread Group 1-1,text,true,,1060905,143,1,1,https://www.trendyol.com/deodorant?qs=navigation,419,0,0
1551114691680,569,HTTP Request,200,OK,Thread Group 1-1,text,true,,1015907,145,1,1,https://www.trendyol.com/ten-makyaji?qs=navigation,360,0,29
1551114692249,540,HTTP Request,200,OK,Thread Group 1-1,text,true,,1017208,147,1,1,https://www.trendyol.com/dudak-makyaji?qs=navigation,331,0,0
1551114692790,571,HTTP Request,200,OK,Thread Group 1-1,text,true,,1017807,145,1,1,https://www.trendyol.com/goz-makyaji?qs=navigation,364,0,0
1551114693361,574,HTTP Request,200,OK,Thread Group 1-1,text,true,,1007636,145,1,1,https://www.trendyol.com/makyaj-seti?qs=navigation,367,0,0
1551114693935,521,HTTP Request,200,OK,Thread Group 1-1,text,true,,1003863,137,1,1,https://www.trendyol.com/oje?qs=navigation,312,0,31
1551114694456,567,HTTP Request,200,OK,Thread Group 1-1,text,true,,1004381,148,1,1,https://www.trendyol.com/makyaj-cantasi?qs=navigation,361,0,0
1551114695023,615,HTTP Request,200,OK,Thread Group 1-1,text,true,,1125427,141,1,1,https://www.trendyol.com/sampuan?qs=navigation,366,0,0
1551114695638,554,HTTP Request,200,OK,Thread Group 1-1,text,true,,1074660,143,1,1,https://www.trendyol.com/sac-kremi?qs=navigation,335,0,0
1551114696192,588,HTTP Request,200,OK,Thread Group 1-1,text,true,,1062312,144,1,1,https://www.trendyol.com/sac-boyasi?qs=navigation,375,0,29
1551114696780,568,HTTP Request,200,OK,Thread Group 1-1,text,true,,1063643,152,1,1,https://www.trendyol.com/sac-sekillendirici?qs=navigation,359,0,0
1551114697349,550,HTTP Request,200,OK,Thread Group 1-1,text,true,,1072295,151,1,1,https://www.trendyol.com/nemlendirici-krem?qs=navigation,329,0,0
1551114697899,573,HTTP Request,200,OK,Thread Group 1-1,text,true,,1071203,147,1,1,https://www.trendyol.com/yuz-temizleme?qs=navigation,355,0,0
1551114698473,571,HTTP Request,200,OK,Thread Group 1-1,text,true,,1064843,148,1,1,https://www.trendyol.com/maske--peeling?qs=navigation,354,0,30
1551114699044,601,HTTP Request,200,OK,Thread Group 1-1,text,true,,1069455,164,1,1,https://www.trendyol.com/yaslanma-ve-kirisiklik-karsiti?qs=navigation,381,0,0
1551114699645,540,HTTP Request,200,OK,Thread Group 1-1,text,true,,1064869,145,1,1,https://www.trendyol.com/cilt-serumu?qs=navigation,325,0,0
1551114700185,530,HTTP Request,200,OK,Thread Group 1-1,text,true,,1020770,144,1,1,https://www.trendyol.com/goz-bakimi?qs=navigation,320,0,0
1551114700715,676,HTTP Request,200,OK,Thread Group 1-1,text,true,,1114102,148,1,1,https://www.trendyol.com/gunes-urunleri?qs=navigation,438,0,29
1551114701391,603,HTTP Request,200,OK,Thread Group 1-1,text,true,,1066941,152,1,1,https://www.trendyol.com/epilasyon-urunleri?qs=navigation,381,0,0
1551114701994,511,HTTP Request,200,OK,Thread Group 1-1,text,true,,1054462,156,1,1,https://www.trendyol.com/tiras-kopuk-ve-jelleri?qs=navigation,298,0,0
1551114702505,658,HTTP Request,200,OK,Thread Group 1-1,text,true,,1190003,149,1,1,https://www.trendyol.com/epilasyon-aleti?qs=navigation,417,0,0
1551114703164,582,HTTP Request,200,OK,Thread Group 1-1,text,true,,1065128,146,1,1,https://www.trendyol.com/tiras-bicagi?qs=navigation,363,0,30
1551114703746,550,HTTP Request,200,OK,Thread Group 1-1,text,true,,1014763,147,1,1,https://www.trendyol.com/bakim-yaglari?qs=navigation,329,0,0
1551114704296,549,HTTP Request,200,OK,Thread Group 1-1,text,true,,1082960,146,1,1,https://www.trendyol.com/vucut-bakimi?qs=navigation,322,0,0
1551114704845,542,HTTP Request,200,OK,Thread Group 1-1,text,true,,1118074,154,1,1,https://www.trendyol.com/dus-jeli-ve-kremleri?qs=navigation,314,0,0
1551114705387,584,HTTP Request,200,OK,Thread Group 1-1,text,true,,1031265,146,1,1,https://www.trendyol.com/kadin-hijyen?qs=navigation,374,0,28
1551114705972,637,HTTP Request,200,OK,Thread Group 1-1,text,true,,1092488,155,1,1,https://www.trendyol.com/pamuk-ve-kulak-cubugu?qs=navigation,402,0,0
1551114706610,553,HTTP Request,200,OK,Thread Group 1-1,text,true,,1080016,156,1,1,https://www.trendyol.com/cinsel-saglik-urunleri?qs=navigation,335,0,0
1551114707163,106,HTTP Request,200,OK,Thread Group 1-1,text,true,,387156,141,1,1,https://www.trendyol.com/Butik/Liste/Ev--Yasam,31,0,0
1551114707269,613,HTTP Request,200,OK,Thread Group 1-1,text,true,,1117634,146,1,1,https://www.trendyol.com/yatak-ortusu?qs=navigation,304,0,0
1551114707881,617,HTTP Request,200,OK,Thread Group 1-1,text,true,,1120789,149,1,1,https://www.trendyol.com/nevresim-takimi?qs=navigation,389,0,30
1551114708498,706,HTTP Request,200,OK,Thread Group 1-1,text,true,,1136091,143,1,1,https://www.trendyol.com/battaniye?qs=navigation,476,0,0
1551114709204,600,HTTP Request,200,OK,Thread Group 1-1,text,true,,1122683,147,1,1,https://www.trendyol.com/carsaf-takimi?qs=navigation,370,0,0
1551114709804,649,HTTP Request,200,OK,Thread Group 1-1,text,true,,1132007,153,1,1,https://www.trendyol.com/klozet-takimi+havlu?qs=navigation,398,0,0
1551114710453,623,HTTP Request,200,OK,Thread Group 1-1,text,true,,1149173,153,1,1,https://www.trendyol.com/hali--kilim--paspas?qs=navigation,381,0,30
1551114711077,733,HTTP Request,200,OK,Thread Group 1-1,text,true,,1043125,149,1,1,https://www.trendyol.com/ev--yasam+perde?qs=navigation,522,0,0
1551114711810,537,HTTP Request,200,OK,Thread Group 1-1,text,true,,1120223,160,1,1,https://www.trendyol.com/salon-oturma-odasi-mobilya?qs=navigation,308,0,0
1551114712347,808,HTTP Request,200,OK,Thread Group 1-1,text,true,,1052956,163,1,1,https://www.trendyol.com/ev--yasam+yatak-odasi-mobilya?qs=navigation,576,0,0
1551114713156,583,HTTP Request,200,OK,Thread Group 1-1,text,true,,1119555,147,1,1,https://www.trendyol.com/calisma-odasi?qs=navigation,351,0,29
1551114713739,597,HTTP Request,200,OK,Thread Group 1-1,text,true,,1110383,150,1,1,https://www.trendyol.com/ofis-mobilyalari?qs=navigation,355,0,0
1551114714336,583,HTTP Request,200,OK,Thread Group 1-1,text,true,,1114501,155,1,1,https://www.trendyol.com/servis-sunum-urunleri?qs=navigation,347,0,0
1551114714919,547,HTTP Request,200,OK,Thread Group 1-1,text,true,,1112507,141,1,1,https://www.trendyol.com/pisirme?qs=navigation,312,0,0
1551114715466,572,HTTP Request,200,OK,Thread Group 1-1,text,true,,1100398,158,1,1,https://www.trendyol.com/diger-hazirlik-gerecleri?qs=navigation,341,0,29
1551114716038,574,HTTP Request,200,OK,Thread Group 1-1,text,true,,1115969,143,1,1,https://www.trendyol.com/caydanlik?qs=navigation,325,0,0
1551114716612,650,HTTP Request,200,OK,Thread Group 1-1,text,true,,1116025,294,1,1,https://www.trendyol.com/tabak+kase?qs=navigation,15,0,0
1551114716612,17,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,781,150,1,1,https://www.trendyol.com/tabak--kase+kase?qs=navigation,15,0,0
1551114716629,633,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,1115244,144,1,1,https://www.trendyol.com/tabak+kase?qs=navigation,379,0,0
1551114717262,547,HTTP Request,200,OK,Thread Group 1-1,text,true,,1116277,147,1,1,https://www.trendyol.com/bardak--kadeh?qs=navigation,311,0,0
1551114717809,626,HTTP Request,200,OK,Thread Group 1-1,text,true,,1118938,146,1,1,https://www.trendyol.com/yemek-takimi?qs=navigation,373,0,29
1551114718435,549,HTTP Request,200,OK,Thread Group 1-1,text,true,,1117470,149,1,1,https://www.trendyol.com/kahvalti-takimi?qs=navigation,319,0,0
1551114718985,590,HTTP Request,200,OK,Thread Group 1-1,text,true,,1125493,139,1,1,https://www.trendyol.com/tablo?qs=navigation,340,0,0
1551114719575,580,HTTP Request,200,OK,Thread Group 1-1,text,true,,1131600,147,1,1,https://www.trendyol.com/duvar-sticker?qs=navigation,349,0,0
1551114720155,676,HTTP Request,200,OK,Thread Group 1-1,text,true,,1120906,155,1,1,https://www.trendyol.com/dekoratif-aksesuarlar?qs=navigation,448,0,30
1551114720831,599,HTTP Request,200,OK,Thread Group 1-1,text,true,,1120368,146,1,1,https://www.trendyol.com/cep-telefonu?qs=navigation,355,0,0
1551114721430,621,HTTP Request,200,OK,Thread Group 1-1,text,true,,1134705,151,1,1,https://www.trendyol.com/bilgisayar-tablet?qs=navigation,387,0,0
1551114722051,692,HTTP Request,200,OK,Thread Group 1-1,text,true,,1123834,144,1,1,https://www.trendyol.com/televizyon?qs=navigation,460,0,0
1551114722743,626,HTTP Request,200,OK,Thread Group 1-1,text,true,,1116990,157,1,1,https://www.trendyol.com/oyun-ve-oyun-konsollari?qs=navigation,381,0,30
1551114723369,605,HTTP Request,200,OK,Thread Group 1-1,text,true,,1121060,144,1,1,https://www.trendyol.com/beyaz-esya?qs=navigation,379,0,0
1551114723974,606,HTTP Request,200,OK,Thread Group 1-1,text,true,,1123556,152,1,1,https://www.trendyol.com/elektrikli-supurge?qs=navigation,349,0,0
1551114724580,592,HTTP Request,200,OK,Thread Group 1-1,text,true,,1111878,137,1,1,https://www.trendyol.com/utu?qs=navigation,353,0,0
1551114725172,651,HTTP Request,200,OK,Thread Group 1-1,text,true,,1128856,157,1,1,https://www.trendyol.com/blender-ve-blender-seti?qs=navigation,392,0,30
1551114725824,604,HTTP Request,200,OK,Thread Group 1-1,text,true,,1114225,147,1,1,https://www.trendyol.com/tost-makinesi?qs=navigation,377,0,0
1551114726429,559,HTTP Request,200,OK,Thread Group 1-1,text,true,,1115892,148,1,1,https://www.trendyol.com/kahve-makinesi?qs=navigation,325,0,0
1551114726988,924,HTTP Request,200,OK,Thread Group 1-1,text,true,,1124497,139,1,1,https://www.trendyol.com/kitap?qs=navigation,708,0,0
1551114727912,663,HTTP Request,200,OK,Thread Group 1-1,text,true,,1122580,140,1,1,https://www.trendyol.com/puzzle?qs=navigation,436,0,28
1551114728575,582,HTTP Request,200,OK,Thread Group 1-1,text,true,,1120567,151,1,1,https://www.trendyol.com/parti-malzemeleri?qs=navigation,344,0,0
1551114729157,567,HTTP Request,200,OK,Thread Group 1-1,text,true,,1115876,140,1,1,https://www.trendyol.com/defter?qs=navigation,345,0,0
1551114729724,667,HTTP Request,200,OK,Thread Group 1-1,text,true,,1130070,139,1,1,https://www.trendyol.com/kalem?qs=navigation,434,0,0
1551114730391,641,HTTP Request,200,OK,Thread Group 1-1,text,true,,1146002,143,1,1,https://www.trendyol.com/boya-seti?qs=navigation,410,0,30
1551114731032,573,HTTP Request,200,OK,Thread Group 1-1,text,true,,1114264,156,1,1,https://www.trendyol.com/oto-brandalar-guneslik?qs=navigation,349,0,0
1551114731605,623,HTTP Request,200,OK,Thread Group 1-1,text,true,,1137596,150,1,1,https://www.trendyol.com/arac-ic-aksesuar?qs=navigation,391,0,0
1551114732228,554,HTTP Request,200,OK,Thread Group 1-1,text,true,,1122183,164,1,1,https://www.trendyol.com/oto-bakim-ve-temizlik-urunleri?qs=navigation,325,0,0
1551114732782,588,HTTP Request,200,OK,Thread Group 1-1,text,true,,1131073,160,1,1,https://www.trendyol.com/oto-ses-goruntu-sistemleri?qs=navigation,354,0,32
1551114733370,557,HTTP Request,200,OK,Thread Group 1-1,text,true,,1142254,154,1,1,https://www.trendyol.com/ev-bakim-ve-temizlik?qs=navigation,323,0,0
1551114733927,727,HTTP Request,200,OK,Thread Group 1-1,text,true,,1125717,147,1,1,https://www.trendyol.com/gida-urunleri?qs=navigation,467,0,0
1551114734654,569,HTTP Request,200,OK,Thread Group 1-1,text,true,,1124649,149,1,1,https://www.trendyol.com/icecek-urunleri?qs=navigation,336,0,0
1551114735223,355,HTTP Request,200,OK,Thread Group 1-1,text,true,,1002262,144,1,1,https://www.trendyol.com/bebek-bezi?qs=navigation,158,0,29
1551114735578,519,HTTP Request,200,OK,Thread Group 1-1,text,true,,989388,146,1,1,https://www.trendyol.com/islak-mendil?qs=navigation,316,0,0
